DOR CODE,Name,Rating Agency,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2014,2015,2017,2019,2020,2021,2023
41,Brewster,S&P,AA-,AA,AA-,AA-,AA-,AA-,AA-,AA-,AA-,AA-,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA
44,Brockton,S&P,A-,A,A-,A,A,A,A,A,A,A,A,A,AA-,AA-,AA-,AA-,AA-,AA-,AA-
48,Burlington,S&P,AA,AA,AA,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AAA,AAA,AAA,AAA,AAA
49,Cambridge,S&P,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
50,Canton,S&P,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
55,Chatham,S&P,AA,AA,AA,AA,AA+,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
56,Chelmsford,S&P,AA,AA,AA,AA,AA,AA,AA-,AA-,AA-,AA-,AA-,AA,AA+,AA+,AA+,AA+,AA+,AA+,AA+
57,Chelsea,S&P,A-,A-,A-,A-,A-,A-,A-,A+,A+,A+,A+,A+,AA,AA,AA,AA,AA,AA,AA
62,Chilmark,S&P,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA
65,Cohasset,S&P,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AAA,AAA,AAA,AAA,AAA
71,Danvers,S&P,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AAA,AAA,AAA
73,Dedham,S&P,AA,AA,AA,AA,AA,AA,AA,AA+,AA+,AA+,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA
75,Dennis,S&P,AA-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA
78,Dover,S&P,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,,,,,
80,Dudley,S&P,A,A,A,A,A-,A-,A-,A-,A+,A+,A+,A+,AA,AA,AA,AA,AA,AA,AA
